Solving testing_graphs/data_2_partite_tparisi.csv...
Graph #1/4000: False, time=0.000036s
Graph #2/4000: False, time=0.000016s
Graph #3/4000: False, time=0.000010s
Graph #4/4000: False, time=0.000008s
Graph #5/4000: False, time=0.000005s
Graph #6/4000: False, time=0.000005s
Graph #7/4000: False, time=0.000005s
Graph #8/4000: False, time=0.000007s
Graph #9/4000: False, time=0.000004s
Graph #10/4000: False, time=0.000004s
Graph #11/4000: False, time=0.000004s
Graph #12/4000: False, time=0.000003s
Graph #13/4000: False, time=0.000003s
Graph #14/4000: False, time=0.000003s
Graph #15/4000: False, time=0.000003s
Graph #16/4000: False, time=0.000003s
Graph #17/4000: False, time=0.000003s
Graph #18/4000: False, time=0.000003s
Graph #19/4000: False, time=0.000003s
Graph #20/4000: False, time=0.000003s
Graph #21/4000: False, time=0.000003s
Graph #22/4000: False, time=0.000003s
Graph #23/4000: False, time=0.000003s
Graph #24/4000: False, time=0.000003s
Graph #25/4000: False, time=0.000003s
Graph #26/4000: False, time=0.000003s
Graph #27/4000: False, time=0.000003s
Graph #28/4000: False, time=0.000003s
Graph #29/4000: False, time=0.000003s
Graph #30/4000: False, time=0.000003s
Graph #31/4000: False, time=0.000003s
Graph #32/4000: False, time=0.000003s
Graph #33/4000: False, time=0.000003s
Graph #34/4000: False, time=0.000003s
Graph #35/4000: False, time=0.000003s
Graph #36/4000: False, time=0.000003s
Graph #37/4000: False, time=0.000003s
Graph #38/4000: False, time=0.000003s
Graph #39/4000: False, time=0.000004s
Graph #40/4000: False, time=0.000003s
Graph #41/4000: False, time=0.000005s
Graph #42/4000: False, time=0.000005s
Graph #43/4000: False, time=0.000005s
Graph #44/4000: False, time=0.000004s
Graph #45/4000: False, time=0.000004s
Graph #46/4000: False, time=0.000004s
Graph #47/4000: False, time=0.000004s
Graph #48/4000: False, time=0.000004s
Graph #49/4000: False, time=0.000004s
Graph #50/4000: False, time=0.000004s
Graph #51/4000: False, time=0.000005s
Graph #52/4000: False, time=0.000005s
Graph #53/4000: False, time=0.000005s
Graph #54/4000: False, time=0.000005s
Graph #55/4000: False, time=0.000005s
Graph #56/4000: False, time=0.000004s
Graph #57/4000: False, time=0.000004s
Graph #58/4000: False, time=0.000004s
Graph #59/4000: False, time=0.000005s
Graph #60/4000: False, time=0.000004s
Graph #61/4000: False, time=0.000004s
Graph #62/4000: False, time=0.000004s
Graph #63/4000: False, time=0.000004s
Graph #64/4000: False, time=0.000004s
Graph #65/4000: False, time=0.000005s
Graph #66/4000: False, time=0.000004s
Graph #67/4000: False, time=0.000004s
Graph #68/4000: False, time=0.000004s
Graph #69/4000: False, time=0.000005s
Graph #70/4000: False, time=0.000004s
Graph #71/4000: False, time=0.000004s
Graph #72/4000: False, time=0.000004s
Graph #73/4000: False, time=0.000004s
Graph #74/4000: False, time=0.000005s
Graph #75/4000: False, time=0.000004s
Graph #76/4000: False, time=0.000005s
Graph #77/4000: False, time=0.000004s
Graph #78/4000: False, time=0.000005s
Graph #79/4000: False, time=0.000004s
Graph #80/4000: False, time=0.000004s
Graph #81/4000: False, time=0.000027s
Graph #82/4000: True, time=0.000017s
Graph #83/4000: True, time=0.000012s
Graph #84/4000: True, time=0.000011s
Graph #85/4000: True, time=0.000012s
Graph #86/4000: True, time=0.000010s
Graph #87/4000: True, time=0.000012s
Graph #88/4000: True, time=0.000010s
Graph #89/4000: True, time=0.000010s
Graph #90/4000: True, time=0.000010s
Graph #91/4000: True, time=0.000018s
Graph #92/4000: True, time=0.000014s
Graph #93/4000: False, time=0.000010s
Graph #94/4000: True, time=0.000010s
Graph #95/4000: False, time=0.000009s
Graph #96/4000: True, time=0.000010s
Graph #97/4000: True, time=0.000011s
Graph #98/4000: True, time=0.000010s
Graph #99/4000: False, time=0.000009s
Graph #100/4000: True, time=0.000010s
Graph #101/4000: True, time=0.000010s
Graph #102/4000: True, time=0.000012s
Graph #103/4000: True, time=0.000010s
Graph #104/4000: True, time=0.000010s
Graph #105/4000: True, time=0.000010s
Graph #106/4000: False, time=0.000011s
Graph #107/4000: True, time=0.000010s
Graph #108/4000: True, time=0.000011s
Graph #109/4000: True, time=0.000010s
Graph #110/4000: True, time=0.000010s
Graph #111/4000: False, time=0.000008s
Graph #112/4000: True, time=0.000010s
Graph #113/4000: True, time=0.000012s
Graph #114/4000: True, time=0.000010s
Graph #115/4000: True, time=0.000010s
Graph #116/4000: False, time=0.000009s
Graph #117/4000: True, time=0.000010s
Graph #118/4000: True, time=0.000012s
Graph #119/4000: True, time=0.000009s
Graph #120/4000: True, time=0.000010s
Graph #121/4000: False, time=0.000019s
Graph #122/4000: True, time=0.000015s
Graph #123/4000: True, time=0.000016s
Graph #124/4000: False, time=0.000014s
Graph #125/4000: True, time=0.000014s
Graph #126/4000: True, time=0.000014s
Graph #127/4000: True, time=0.000016s
Graph #128/4000: True, time=0.000014s
Graph #129/4000: False, time=0.000016s
Graph #130/4000: True, time=0.000014s
Graph #131/4000: True, time=0.000015s
Graph #132/4000: True, time=0.000013s
Graph #133/4000: False, time=0.000031s
Graph #134/4000: True, time=0.000017s
Graph #135/4000: False, time=0.000014s
Graph #136/4000: True, time=0.000015s
Graph #137/4000: True, time=0.000014s
Graph #138/4000: False, time=0.000014s
Graph #139/4000: False, time=0.000016s
Graph #140/4000: True, time=0.000014s
Graph #141/4000: False, time=0.000015s
Graph #142/4000: True, time=0.000014s
Graph #143/4000: True, time=0.000015s
Graph #144/4000: True, time=0.000014s
Graph #145/4000: True, time=0.000014s
Graph #146/4000: True, time=0.000014s
Graph #147/4000: True, time=0.000017s
Graph #148/4000: False, time=0.000014s
Graph #149/4000: True, time=0.000019s
Graph #150/4000: True, time=0.000018s
Graph #151/4000: False, time=0.000019s
Graph #152/4000: True, time=0.000014s
Graph #153/4000: True, time=0.000013s
Graph #154/4000: True, time=0.000014s
Graph #155/4000: False, time=0.000016s
Graph #156/4000: True, time=0.000015s
